node_id_from	node_id_to	length
1000002016	1000000002	0.000202
1000000124	1000002004	0.000405
1000002017	1000000004	0.000411
1000000020	1000002020	0.000523
1000000058	1000002012	0.000556
1000002021	1000000022	0.000578
1000000049	1000002013	0.000580
1000002014	1000000037	0.000600
1000002015	1000000013	0.000616
1000000035	1000002022	0.000621
1000002011	1000000080	0.000725
1000000138	1000002003	0.000813
1000002005	1000000135	0.000841
1000000010	1000002021	0.000906
1000000128	1000002009	0.000972
1000000048	1000002013	0.001000
1000000115	1000002002	0.001015
1000000123	1000002005	0.001065
1000000014	1000002015	0.001069
1000000117	1000002009	0.001079
1000002018	1000000005	0.001081
1000002000	1000000079	0.001094
1000002009	1000000116	0.001097
1000002017	1000000005	0.001222
1000000129	1000002009	0.001235
1000002012	1000000068	0.001249
1000002018	1000000006	0.001251
1000000130	1000002008	0.001335
1000000047	1000002022	0.001344
1000000055	1000000065	0.001350
1000002000	1000000067	0.001363
1000000123	1000002004	0.001414
1000000109	1000000121	0.001415
1000000077	1000000076	0.001421
1000000107	1000000106	0.001421
1000000042	1000000030	0.001427
1000002003	1000000139	0.001430
1000000037	1000000036	0.001448
1000000029	1000000041	0.001450
1000000101	1000000113	0.001461
1000000110	1000000098	0.001463
1000000025	1000002014	0.001465
1000000093	1000000094	0.001488
1000000126	1000002003	0.001498
1000000104	1000000092	0.001498
1000000069	1000000059	0.001506
1000000006	1000000007	0.001506
1000000062	1000000061	0.001517
1000000057	1000000056	0.001520
1000002014	1000000038	0.001524
1000000009	1000000008	0.001524
1000000084	1000000083	0.001525
1000000057	1000000067	0.001531
1000000021	1000002020	0.001531
1000000113	1000000112	0.001537
1000000052	1000000062	0.001539
1000000041	1000000042	0.001540
1000000125	1000000126	0.001543
1000000090	1000000078	0.001547
1000000044	1000000032	0.001550
1000000094	1000000106	0.001551
1000000089	1000000088	0.001556
1000000072	1000000071	0.001557
1000000027	1000000015	0.001558
1000000023	1000000035	0.001569
1000000107	1000000119	0.001572
1000000016	1000000028	0.001575
1000000121	1000000122	0.001578
1000000098	1000000097	0.001594
1000000043	1000000044	0.001597
1000000066	1000000056	0.001598
1000000046	1000000047	0.001599
1000000123	1000000111	0.001607
1000000124	1000000125	0.001608
1000000114	1000000126	0.001608
1000002022	1000000034	0.001610
1000000059	1000000060	0.001618
1000000072	1000000073	0.001620
1000000014	1000000002	0.001626
1000000039	1000000040	0.001630
1000000105	1000000104	0.001630
1000000009	1000000010	0.001637
1000000071	1000000083	0.001645
1000000015	1000000016	0.001646
1000000101	1000000102	0.001650
1000000136	1000000137	0.001651
1000000046	1000000056	0.001653
1000000043	1000000031	0.001653
1000000045	1000000033	0.001655
1000000036	1000000048	0.001656
1000000019	1000000020	0.001658
1000000133	1000000134	0.001660
1000000011	1000000023	0.001660
1000000081	1000000080	0.001662
1000000095	1000000083	0.001667
1000000034	1000000033	0.001670
1000000027	1000000026	0.001670
1000000001	1000000013	0.001671
1000000091	1000000079	0.001672
1000002020	1000000032	0.001678
1000000069	1000002012	0.001683
1000000127	1000002003	0.001687
1000000070	1000000069	0.001688
1000000051	1000000052	0.001698
1000000064	1000000076	0.001702
1000000132	1000000133	0.001703
1000002021	1000000021	0.001705
1000000085	1000000097	0.001707
1000000039	1000000038	0.001707
1000000050	1000000038	0.001709
1000000012	1000000000	0.001710
1000000015	1000000014	0.001710
1000000086	1000000085	0.001711
1000000088	1000000087	0.001715
1000000077	1000000089	0.001715
1000000120	1000000119	0.001717
1000000099	1000000087	0.001717
1000000025	1000000024	0.001720
1000000105	1000000117	0.001729
1000000088	1000000100	0.001730
1000000082	1000000070	0.001733
1000000084	1000000096	0.001733
1000000039	1000000027	0.001735
1000000063	1000000073	0.001739
1000000078	1000000077	0.001741
1000000122	1000000134	0.001749
1000000118	1000000106	0.001756
1000000103	1000000091	0.001760
1000000003	1000000004	0.001763
1000000074	1000000075	0.001766
1000000111	1000000110	0.001766
1000000108	1000000096	0.001766
1000000086	1000000087	0.001767
1000000000	1000000001	0.001769
1000000095	1000000094	0.001770
1000000112	1000000111	0.001773
1000000055	1000000056	0.001778
1000000041	1000000053	0.001782
1000000049	1000000059	0.001788
1000000029	1000000028	0.001790
1000000131	1000000130	0.001792
1000000017	1000000005	0.001796
1000000115	1000000127	0.001797
1000002004	1000000136	0.001801
1000000064	1000000054	0.001803
1000000081	1000000069	0.001805
1000000082	1000000083	0.001813
1000000075	1000000087	0.001818
1000000033	1000000021	0.001827
1000000093	1000000105	0.001841
1000000131	1000000119	0.001843
1000000062	1000000063	0.001848
1000000109	1000000110	0.001849
1000000064	1000000065	0.001858
1000000007	1000002019	0.001868
1000000074	1000000073	0.001885
1000000003	1000000002	0.001886
1000000019	1000000018	0.001888
1000000132	1000002007	0.001903
1000002010	1000000104	0.001908
1000002001	1000000103	0.002791
1000002006	1000000133	0.002878
1000002023	1000000057	0.002995
1000003007	1000003008	0.003149
1000003016	1000003015	0.003397
1000003019	1000003020	0.003650
1000003004	1000003003	0.003683
1000003005	1000003004	0.003801
1000003024	1000003023	0.003821
1000003027	1000003026	0.003894
1000003030	1000003029	0.003922
1000003000	1000003031	0.003982
1000004026	1000004025	0.004005
1000003003	1000003002	0.004119
1000003011	1000003012	0.004154
1000003024	1000003025	0.004169
1000003009	1000003010	0.004223
1000004029	1000004030	0.004247
1000003014	1000003013	0.004369
1000003026	1000003025	0.004391
1000003011	1000003010	0.004392
1000004012	1000004011	0.004430
1000003030	1000003031	0.004443
1000003029	1000003028	0.004446
1000004013	1000004012	0.004471
